Content,Amount,Frequency Percentage
include,3,6.81818%
iostream,1,2.27273%
text,4,9.09091%
h,2,4.54545%
csv,2,4.54545%
int,1,2.27273%
main,1,2.27273%
std,3,6.81818%
string,1,2.27273%
path,3,6.81818%
textHandler,2,4.54545%
Text,1,2.27273%
vector,1,2.27273%
Word,1,2.27273%
words,4,9.09091%
csvDumper,1,2.27273%
dumper,3,6.81818%
cin,1,2.27273%
readFromFile,1,2.27273%
getWordsBySeparators,1,2.27273%
n,1,2.27273%
if,1,2.27273%
empty,1,2.27273%
dump,1,2.27273%
out,1,2.27273%
return,1,2.27273%
0,1,2.27273%
